Anime,11
"Oshi no Ko",9
5-toubun no Hanayome,9
5-toubun no Hanayome ∬,9
Akiba Meido Sensou,7
Blend S,9
Bocchi the Rock!,9
Boku no Hero Academia,6
Boku no Hero Academia 2nd Season,5
Chihayafuru,11
Chuunibyou demo Koi ga Shitai!,10
Coquelicot-zaka kara,9
Cyberpunk: Edgerunners,6
Dosanko Gal wa Namara Menkoi,7
Fruits Basket,8
Fruits Basket 1st Season,11
Fruits Basket 2nd Season,11
Fruits Basket: Prelude,9
Fruits Basket: The Final,11
Haikyuu!!,7
Hataraku Maou-sama!,5
Horimiya,7
Horimiya: Piece,7
Hotarubi no Mori e,8
Houkago Saikoro Club,9
Houkago Shounen Hanako-kun,8
Idol,10
"Ijiranaide Nagatoro-san",9
"Ijiranaide Nagatoro-san 2nd Attack",9
Jibaku Shounen Hanako-kun,11
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,10
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,10
Kaichou wa Maid-sama!,11
Kamisama Hajimemashita,11
Kamisama Hajimemashita: Kako-hen,11
Kamisama Hajimemashita◎,11
Kanojo mo Kanojo,6
Kanojo mo Kanojo Season 2,8
"Kanojo Okarishimasu",4
"Keikenzumi na Kimi to Keiken Zero na Ore ga Otsukiai suru Hanashi.",7
Kidou Senshi Gundam: Suisei no Majo,7
Kidou Senshi Gundam: Suisei no Majo - Prologue,8
Kidou Senshi Gundam: Suisei no Majo Season 2,8
Kimi ni Todoke,9
Kimi ni Todoke 2nd Season,8
Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,7
Kimi no Na wa.,10
"Komi-san wa Comyushou desu.",11
"Komi-san wa Comyushou desu. 2nd Season",11
Koukyuu no Karasu,8
Kurenai no Buta,7
Kusuriya no Hitorigoto,9
Majo no Takkyuubin,9
Mikakunin de Shinkoukei,8
Mimi wo Sumaseba,10
Mushoku Tensei: Isekai Ittara Honki Dasu,7
Nisekoi,9
Nodame Cantabile,11
Orange,7
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,9
Ouran Koukou Host Club,8
Paripi Koumei,8
Promare,9
Renai Flops,7
Romantic Killer,10
Sen to Chihiro no Kamikakushi,9
Shiguang Dailiren,9
Shiguang Dailiren Fan Wai Pian: Biwu Zhaoqin,9
Shin Kidou Senki Gundam Wing: Endless Waltz,7
Shinigami Bocchan to Kuro Maid,7
Shoujo Kakumei Utena: Adolescence Mokushiroku,8
Skip Beat!,7
Skip to Loafer,9
Sono Bisque Doll wa Koi wo Suru,6
Spy x Family,10
Spy x Family Part 2,10
Spy x Family Season 2,9
Tenki no Ko,9
Tensei Oujo to Tensai Reijou no Mahou Kakumei,7
Tokyo Godfathers,7
Tomo-chan wa Onnanoko!,8
Tonari no Kaibutsu-kun,7
Tonari no Totoro,8
Uchi no Kaisha no Chiisai Senpai no Hanashi,7
Watashi no Shiawase na Kekkon,9
Yamada-kun to Lv999 no Koi wo Suru,10
Yubisaki to Renren,10
