Anime,35
Oddtaxi,35
Mob Psycho 100,34
Ya Boy! Kongming,33
Vinland Saga,32
Scott Pilgrim,31
Chainsaw Man,30
Cyberpunk Edgerunners,29
One Piece,28
JoJo Part 2,27
JoJo Part 1,26
Urusei Yatsura (2022),25
Bunny Girl Senpai,24
Freiren,23
A Place Further than the Universe,22
Kill La Kill,21
Tomochan,20
Hunter X Hunter,19
Erased,18
The Promised Neverland (S1),17
Assassination Classroom,16
The Ancient Magus Bride (S1),15
Death Note,14
Nagatoro,13
Kaguya Sama,12
JoJo Part 3,11
Bleach The Thousand Year Blood War Arc,10
One Punch Man,9
Fairy Tail,8
Your Lie in April,7
No Game No Life,6
Tokyo Ghoul,5
Demon Slayer,4
My Hero Academia,3
Spy X Family,2
Nier Automata,1
