Bungou Stray Dogs 5th Season,9.5
Shingeki no Kyojin: The Final Season - Kanketsu-hen Kouhen,9.5
Sousou no Frieren,9.5
Gakuen Babysitters,9
Kusuriya no Hitorigoto,9
Mushoku Tensei II: Isekai Ittara Honki Dasu,9
Kaichou wa Maid-sama!,8.5
Buddy Daddies,8
Dororo,6.5
Horimiya: piece,6.5
Watashi no Shiawase na Kekkon,5.5
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",5
Re:Zero kara Hajimeru Isekai Seikatsu,4.5
Hametsu no Oukoku,4
Yakusoku no Neverland 2,1
