Bocchi the Rock!,10
CLANNAD: After Story,10
Tengen Toppa Gurren Lagann,10
Yuru Camp△,10
Akudama Drive,9
Ansatsu Kyoushitsu,9
Ansatsu Kyoushitsu 2,9
BLEACH: Sennen Kessen-hen,9
Hataraku Maou-sama!,9
Lupin III: PART IV,9
Mahou Shoujo Madoka☆Magica,9
NEW GAME!,9
Paripi Koumei,9
Yagate Kimi ni Naru,9
Yuukoku no Moriarty Part 2,9
Zombie Land Saga: Revenge,9
Afro Samurai,8
Hyouka,8
Kaze no Shoujo Emily,8
Koi wa Sekai Seifuku no Ato de,8
Log Horizon,8
Love Live! Nijigasaki Gakuen School Idol Doukoukai 2,8
Mahou Shoujo ni Akogarete,8
Wotaku ni Koi wa Muzukashii,8
Adachi to Shimamura,7
Amagi Brilliant Park,7
Boku no Hero Academia 6,7
Chihayafuru,7
Chihayafuru 2,7
Chihayafuru 3,7
CLANNAD,7
Dragon Quest: Dai no Daibouken (2020),7
Genjitsu no Yohane: SUNSHINE in the MIRROR,7
Healer Girl,7
Kumichou Musume to Sewagakari,7
Lucky☆Star,7
LUPIN the Third: Mine Fujiko to Iu Onna,7
Mahoutsukai no Yome,7
Mawaru Penguindrum,7
MF Ghost,7
Mieruko-chan,7
Mushoku Tensei II: Isekai Ittara Honki Dasu,7
Natsume Yuujinchou,7
Onii-chan wa Oshimai!,7
Ousama Ranking,7
Shokugeki no Souma,7
SHOW BY ROCK!!,7
Tensei Oujo to Tensai Reijou no Mahou Kakumei,7
Tensei Shitara Slime Datta Ken: Tensura Nikki,7
Uzaki-chan wa Asobitai!,7
Youjo Senki,7
Yuu☆Yuu☆Hakusho,7
Zombie Land Saga,7
Akebi-chan no Sailor Fuku,6
Chainsaw Man,6
Date A Live IV,6
Irozuku Sekai no Ashita kara,6
Rolling☆Girls,6
Saenai Heroine no Sodatekata,6
Tate no Yuusha no Nariagari Season 2,6
16bit Sensation: ANOTHER LAYER,5
Accel World,5
Enen no Shouboutai,5
ID: INVADED,5
Inuyasha: Kanketsu-hen,5
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,5
Kono Subarashii Sekai ni Bakuen wo!,5
Kuragehime,5
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta…,5
Ouran Koukou Host Club,5
Pocket Monsters: Mezase Pokémon Master,5
Sasaki to Miyano,5
Tomo-chan wa Onnanoko!,5
Taishou Yakyuu Musume.,4
Given,3
Koutetsujou no Kabaneri,3
Log Horizon 2,3
Monster Musume no Iru Nichijou,3
Netoge no Yome wa Onnanoko ja Nai to Omotta?,3
Nisemonogatari,3
RWBY: Hyousetsu Teikoku,3
TRIBE NINE,3
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,3
Yuragi-sou no Yuuna-san,3
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta… X,1
Paniponi Dash!,1
Violet Evergarden,10
