Anime Title,Score 
R.O.D: Read or Die ,9
R.O.D: The TV ,9
InuYasha ,8
Toradora! ,8
Persona 4 the Animation   ,8
Summertime Render ,8
Kakkou no Iinazuke ,8
Shiguang Dailiren II   ,8
"Fuufu Ijou, Koibito Miman. ",8
Kubo-san wa Mob wo Yurusanai  ,8
Sousou no Frieren  ,8
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto ,8
Initial D First Stage ,7
Bishoujo Senshi Sailor Moon ,7
Noragami ,7
Watching this with my sister,7
High Score Girl ,7
Kobayashi-san Chi no Maid Dragon ,7
Kimetsu no Yaiba ,7
Jujutsu Kaisen ,7
Odd Taxi  ,7
Jahy-sama wa Kujikenai! ,7
Shinigami Bocchan to Kuro Maid 2nd Season  ,7
Ore dake Level Up na Ken   ,7
Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou   ,7
Undead Unluck  ,7
Buddy Daddies   ,6
Kidou Butouden G Gundam ,6
Natsume Yuujinchou  ,6
Houseki no Kuni  ,6
Wotaku ni Koi wa Muzukashii ,6
Dr. Stone ,6
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2 ,6
Mato Seihei no Slave   ,6
Oniichan wa Oshimai!   ,6
Suki na Ko ga Megane wo Wasureta   ,6
Wind Breaker  ,6
Wonder Egg Priority ,5
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
