3-gatsu no Lion,9
3-gatsu no Lion 2,9
Akame ga Kill!,8.8
AMNESIA,5
Angel Beats!,6
Ansatsu Kyoushitsu,8
Ao Haru Ride,7.6
Araburu Kisetsu no Otome-domo yo.,8
Bakuten!!,7.8
BANANA FISH,10
Barakamon,8.3
BEASTARS,9
BEASTARS 2,7.8
Boku dake ga Inai Machi,8.7
Charlotte,8
Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,6.7
DEATH NOTE,7.7
Fumetsu no Anata e,8.6
Gekkan Shoujo Nozaki-kun,8.5
Genjitsu Shugi Yuusha no Oukoku Saikenki,7.5
Hige wo Soru. Soshite Joshikousei wo Hirou.,8.5
Hitorijime My Hero,7.8
Horimiya,9
"Ijiranaide, Nagatoro-san",7.3
Jujutsu Kaisen,9
Kageki Shoujo!!,7.9
Kaichou wa Maid-sama!,8.9
Kimetsu no Yaiba,9.6
Kimetsu no Yaiba: Mugen Ressha-hen (TV),8.8
Kobayashi-san Chi no Maidragon,8.7
Kobayashi-san Chi no Maidragon S,8.5
"Komi-san wa, Komyushou desu.",8.5
Little Witch Academia (TV),7.5
NARUTO,8.8
One Punch Man,8.8
One Punch Man 2,8
Ookami Shoujo to Kuro Ouji,7.5
orange,8
Peach Boy Riverside,6.2
RE-MAIN,7.5
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.5
Sekaiichi Hatsukoi,8
Sekaiichi Hatsukoi 2,8
Shakugan no Shana,7.1
Shinigami Bocchan to Kuro Maid,7
Shiroi Suna no Aquatope,8.5
Shokugeki no Souma,8.8
Shokugeki no Souma: Gou no Sara,8
Shokugeki no Souma: Ni no Sara,8.8
Shokugeki no Souma: San no Sara,8
Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,9
Shokugeki no Souma: Shin no Sara,9
SK∞,8.7
Sono Bisque Doll wa Koi wo Suru,8.3
Sukitte Ii na yo.,8
"Tantei wa mou, Shindeiru.",6
Tokyo Ghoul,8.5
Tokyo Revengers,8.5
Tonari no Kaibutsu-kun,8.3
Toradora!,7.8
Uramichi Oniisan,8
Vampire Knight,8
Vampire Knight Guilty,7.8
Vanitas no Carte,7.8
Vanitas no Carte Part 2,6.7
Wotaku ni Koi wa Muzukashii,9.3
Yuuri!!! on ICE,9
